class1,class2,class3,class4,class5,class6,class7,class8
回路理論,回路理論,政治経済,政治経済
数学A,数学A,体育,体育,英語B,英語B,ホームルーム
計算機システム,計算機システム,物理,物理
英語A,英語A,プログラミング,プログラミング,数学A,数学A
数学B,数学B,国語,国語,論理回路,論理回路
